target,band
pH值,A00
pH值,A03
pH值,A04
pH值,A05
pH值,A06
pH值,A07
pH值,A08
pH值,A09
pH值,A10
pH值,A11
pH值,A13
pH值,A15
pH值,A16
pH值,A17
pH值,A18
pH值,A21
pH值,A23
pH值,A24
pH值,A25
pH值,A26
pH值,A27
pH值,A28
pH值,A29
pH值,A30
pH值,A31
pH值,A32
pH值,A33
pH值,A34
pH值,A35
pH值,A36
pH值,A37
pH值,A38
pH值,A39
pH值,A40
pH值,A41
pH值,A42
pH值,A43
pH值,A44
pH值,A45
pH值,A46
pH值,A47
pH值,A48
pH值,A49
pH值,A50
pH值,A51
pH值,A52
pH值,A53
pH值,A54
pH值,A55
pH值,A56
pH值,A57
pH值,A58
pH值,A59
pH值,A60
pH值,A61
pH值,A62
pH值,A63
全碳(g/kg),A01
全碳(g/kg),A04
全碳(g/kg),A05
全碳(g/kg),A07
全碳(g/kg),A09
全碳(g/kg),A11
全碳(g/kg),A13
全碳(g/kg),A14
全碳(g/kg),A19
全碳(g/kg),A21
全碳(g/kg),A22
全碳(g/kg),A23
全碳(g/kg),A24
全碳(g/kg),A25
全碳(g/kg),A26
全碳(g/kg),A27
全碳(g/kg),A28
全碳(g/kg),A29
全碳(g/kg),A30
全碳(g/kg),A31
全碳(g/kg),A32
全碳(g/kg),A33
全碳(g/kg),A34
全碳(g/kg),A35
全碳(g/kg),A36
全碳(g/kg),A37
全碳(g/kg),A38
全碳(g/kg),A39
全碳(g/kg),A40
全碳(g/kg),A41
全碳(g/kg),A42
全碳(g/kg),A43
全碳(g/kg),A44
全碳(g/kg),A45
全碳(g/kg),A46
全碳(g/kg),A47
全碳(g/kg),A48
全碳(g/kg),A49
全碳(g/kg),A50
全碳(g/kg),A51
全碳(g/kg),A52
全碳(g/kg),A53
全碳(g/kg),A54
全碳(g/kg),A55
全碳(g/kg),A56
全碳(g/kg),A57
全碳(g/kg),A58
全碳(g/kg),A59
全碳(g/kg),A60
全碳(g/kg),A61
全碳(g/kg),A62
全碳(g/kg),A63
有机碳(g/kg),A00
有机碳(g/kg),A01
有机碳(g/kg),A03
有机碳(g/kg),A05
有机碳(g/kg),A09
有机碳(g/kg),A11
有机碳(g/kg),A12
有机碳(g/kg),A13
有机碳(g/kg),A14
有机碳(g/kg),A15
有机碳(g/kg),A19
有机碳(g/kg),A23
有机碳(g/kg),A25
有机碳(g/kg),A26
有机碳(g/kg),A27
有机碳(g/kg),A30
有机碳(g/kg),A31
有机碳(g/kg),A32
有机碳(g/kg),A33
有机碳(g/kg),A34
有机碳(g/kg),A35
有机碳(g/kg),A36
有机碳(g/kg),A37
有机碳(g/kg),A40
有机碳(g/kg),A41
有机碳(g/kg),A42
有机碳(g/kg),A43
有机碳(g/kg),A44
有机碳(g/kg),A48
有机碳(g/kg),A49
有机碳(g/kg),A50
有机碳(g/kg),A51
有机碳(g/kg),A53
有机碳(g/kg),A55
有机碳(g/kg),A57
有机碳(g/kg),A58
有机碳(g/kg),A59
有机碳(g/kg),A60
有机碳(g/kg),A61
有机碳(g/kg),A62
有机碳(g/kg),A63
容重(g/cm3),A00
容重(g/cm3),A01
容重(g/cm3),A02
容重(g/cm3),A09
容重(g/cm3),A12
容重(g/cm3),A16
容重(g/cm3),A19
容重(g/cm3),A22
容重(g/cm3),A24
容重(g/cm3),A26
容重(g/cm3),A28
容重(g/cm3),A30
容重(g/cm3),A31
容重(g/cm3),A39
容重(g/cm3),A50
容重(g/cm3),A51
容重(g/cm3),A54
容重(g/cm3),A63
N(g/kg),A00
N(g/kg),A01
N(g/kg),A02
N(g/kg),A04
N(g/kg),A05
N(g/kg),A06
N(g/kg),A07
N(g/kg),A08
N(g/kg),A09
N(g/kg),A10
N(g/kg),A12
N(g/kg),A13
N(g/kg),A14
N(g/kg),A15
N(g/kg),A16
N(g/kg),A17
N(g/kg),A18
N(g/kg),A19
N(g/kg),A20
N(g/kg),A21
N(g/kg),A22
N(g/kg),A23
N(g/kg),A24
N(g/kg),A25
N(g/kg),A26
N(g/kg),A27
N(g/kg),A28
N(g/kg),A29
N(g/kg),A30
N(g/kg),A31
N(g/kg),A32
N(g/kg),A33
N(g/kg),A34
N(g/kg),A35
N(g/kg),A36
N(g/kg),A37
N(g/kg),A38
N(g/kg),A39
N(g/kg),A40
N(g/kg),A41
N(g/kg),A42
N(g/kg),A43
N(g/kg),A44
N(g/kg),A45
N(g/kg),A46
N(g/kg),A47
N(g/kg),A48
N(g/kg),A49
N(g/kg),A50
N(g/kg),A51
N(g/kg),A52
N(g/kg),A53
N(g/kg),A54
N(g/kg),A55
N(g/kg),A56
N(g/kg),A57
N(g/kg),A58
N(g/kg),A59
N(g/kg),A60
N(g/kg),A61
N(g/kg),A62
N(g/kg),A63
